content,contentTranslation,languageInEnglish,preprocessed
vera Victoria,,Latin,vera victoria
Sisininus,,Latin,sisininus
Restituta bellis moribus,,Latin,restituta bellis moribus
Ianuarìae ti,,Latin,ianuarìae ti
"[Venim]us hoc (:huc) cupidi, multo magis ire cupimus",,Latin,"venimus huc cupidi, multo magis ire cupimus"
Pithia Prima cum Spartitundiolo modo h[ac],,Latin,pithia prima cum spartitundiolo modo hac
"NOI[-]
amv&#803; ((:caput hominis)) ((:phallus directus versus os capitis illius))   
AMOI",,Latin,"noi, amṿ caput hominis phallus directus versus os capitis illius  , amoi"
Omnibu&#803;[s P]ompeianis,(Hooray) for all the Pompeians!,Latin,omnibụs pompeianis
CRI S,,Latin,cri s
Romanus,,Latin,romanus
Ianuariae,,Latin,ianuariae
"((:Palma est posita inter verba et omnia scuto cum hastis inclusa sunt)) 
&#914;&#913;&#935;&#935;&#921;S (:Bacchis) &#916;&#927;&#924;&#925;&#913; (:domina)


",Bacchis (is) in charge,Latin/Greek,"palma est posita inter verba et omnia scuto cum hastis inclusa sunt , bacchis domina, , , "
Habitos,,Latin,habitos
"DCCCCC 
DCCCCLXXXX ((sextans)) ((semis))
DCCCLXXXXVIIII ((quadrans)) ((semis)) ((uncia))
","1000
990 1/2
899 (?)",Latin,"dccccc , dcccclxxxx sextans semis, dccclxxxxviiii quadrans semis uncia, "
Successus,,Latin,successus
"Castor
((:equus))",Castor,Latin,"castor, equus"
M(arcum) Va&#770;sculum,,Latin,marcum vâsculum
Pompeìanus,,Latin,pompeìanus
"&#12296;ad dexteram&#12297; ((:galea cristata columnae vel polo imposita)) 
M(---?) V&#803;aler&#803;iu(s) IV&#803;[- - -]
&#12296;:infra&#12297; ((:gladiator armatus))",,Latin," galea cristata columnae vel polo imposita , m ṿaleṛius iṿ, gladiator armatus"
"Hic ego bis f u tui (:futui)
forma&#803;e CE",Here I screwed twice. of beauty? (other letters here),Latin,"hic ego bis f u futui, formạe ce"
Sarnus,Sarnus,Latin,sarnus
Hervi,,Latin,hervi
IIIIIIIIIIIII,13,Latin,iiiiiiiiiiiii
R(h)esus v&#770;a(le),,Latin,rhesus v̂ale
"Mim&#770;us&#818;  
BCN
bineis (:&#946;&#953;&#957;&#949;&#8150;&#962;)
((:animal))",,Latin,"mim̂us̲ , bcn, bineis βινεῖς, animal"
&#7778;&#969;&#963;as (:&#931;&#969;&#963;&#8118;&#962;),,Latin/Greek,ṣωσas σωσᾶς
f&#803;&#7909;&#7841;&#7789; a(sses) II,,Latin,f̣ụạṭ asses ii
"A B
D",A B D,Latin,"a b, d"
C(aius) Ovius,Gaius Ovius,Latin,caius ovius
Ti(berii) Claudi Caesaris,,Latin,tiberii claudi caesaris
Anthis  va(le),Anthis. Bye!,Latin,anthis vale
Nero quis n,,Latin,nero quis n
Cravid+net,,Latin,cravidnet
"&#12296;:columna 1&#12297;
- - - - - - 
V&#818;i&#818;r&#818;i&#818;o&#818;t&#818;a&#770;&#818;l&#818; &#12296;:vacat&#12297; C&#818;L&#818;
V&#818;a&#818;l&#818;e&#818;r&#818;(ius) &#12296;:vacat&#12297;  X&#818;X&#818;V&#818;
A&#818;m&#818;[o]n&#818;(ius) &#12296;:vacat&#12297; L&#818;X&#818;X&#818;V&#818;
S&#818;e&#818;r&#818;v&#818;i&#818;l&#818;(ius) &#12296;:vacat&#12297; C&#818;
M&#818;a&#818;r&#818;c&#818;u&#818;s&#818; &#12296;:vacat&#12297; L&#818;
S&#818;&#818;e&#818;q&#818;u&#818;a&#818;n&#818;(us) &#12296;:vacat&#12297; L&#818;X&#818;X&#818;V&#818;
Sedula&#770;&#818;t&#818;(us) &#12296;:vacat&#12297;  XXV
((:duo ornamenta scuti)) Viriod LXXV
+TOFAG &#12296;:vacat&#12297; L
+NARTO L X X

&#12296;:columna 2&#12297;
- - - - - -
S&#818;e&#818;x&#818;t&#818;i&#818;u&#818;s&#818; C&#818;
V&#818;i&#818;r&#818;i&#818;o&#818;t&#818;a&#770;&#818;l&#818; C&#818;L&#818;
Valer(ius) LXX&#818;V
Valer(ius) LXXV","〈:columna 1〉
 Virotal? 150
 Valerius 25
 Ammonius 75
 Servilius 100
 Marcus 50
 Sequanus 75
 Sedulatus 25
 Viriodal? 75
 (incomprehensible series of letters) 50
 (incomprehensible series of letters) 70
 
 〈:columna 2〉
 Sextius 100
 Viriotal? 150
 Valerius 75
 Valerius 75",Latin,",    , v̲i̲r̲i̲o̲t̲â̲l̲ c̲l̲, v̲a̲l̲e̲r̲ius  x̲x̲v̲, a̲m̲on̲ius l̲x̲x̲v̲, s̲e̲r̲v̲i̲l̲ius c̲, m̲a̲r̲c̲u̲s̲ l̲, s̲̲e̲q̲u̲a̲n̲us l̲x̲x̲v̲, sedulâ̲t̲us  xxv, duo ornamenta scuti viriod lxxv, tofag l, narto l x x, , ,   , s̲e̲x̲t̲i̲u̲s̲ c̲, v̲i̲r̲i̲o̲t̲â̲l̲ c̲l̲, valerius lxx̲v, valerius lxxv"
X CLXXV,,Latin,x clxxv
AXBVCTDSHRNQGPHOINKIML,,Latin,axbvctdshrnqgphoinkiml
Schola,,Latin,schola
"Victor
cum",,Latin,"victor, cum"
Phoebus,,Latin,phoebus
Victoria,,Latin,victoria
"Sabinus Proclo (:Proculo)
salutem",,Latin,"sabinus proculo, salutem"
qui COV,,Latin,qui cov
Satur,Satyr,Latin,satur
Ante,,Latin,ante
quis,,Latin,quis
Asti,,Latin,asti
"Nais
[s]odalis",,Latin,"nais, sodalis"
"I S dequi
((:animal))
((:tria hominum capita)) ((:cervus))","(Series of letters, with several drawings below)",Latin,"i s dequi, animal, tria hominum capita cervus"
&#929;&#927;&#933;&#934;&#927;&#1017; (:Rufus),Rufus,Latin/Greek,rufus
Scutularius cum Africana hac,,Latin,scutularius cum africana hac
"Spes
a(ssibus) II",,Latin,"spes, assibus ii"
CXXXI&#923;&#923;,,Latin,cxxxiλλ
Syncletus,,Latin,syncletus
"Idibus Apri (:Aprilis) vas a
a quo Phile&#803;ros [-]FOR","On the Ides of April (=April 13th), a vase by which Phileros...(?)",Latin,"idibus aprilis vas a, a quo philẹros for"
Po(pidii),,Latin,popidii
CON,,Latin,con
Quartila (:Quartilla) vale,"Farewell, Quartil(l)a!",Latin,quartilla vale
Anthis va(le),Anthis. Bye!,Latin,anthis vale
"Vasa in camella
I&#803;e&#803;++  VI",,Latin,"vasa in camella, ịẹ vi"
Nicopolis va(le),"Nicopolis, Bye!",Latin,nicopolis vale
E&#803;utychus,Eutychus,Latin,ẹutychus
"Plataco 
turuda",Plataco Turuda,Latin,"plataco , turuda"
[Eu]plia,[Eu]plia,Latin,euplia
Reus SO,,Latin,reus so
A B C D II I G     V     T     X,,Latin,a b c d ii i g   v   t   x
"Mula fellaat (:fellat) [A]ntoni
Fortunata a(eris) a(ssibus) II
((:caput hominis))",Mula performs fellatio(?)  Antoni(us?).  Fortunata - 2 (bronze) asses (coins).,Latin,"mula fellat antoni, fortunata aeris assibus ii, caput hominis"
"IV Non(as) Iul(ias) 
paenulam, palliolum 
[?posita ad Fau]stilla(m)
Pr[o---] L usur[a] 
[deduxit?] XIIIS (?) 
[aeri]s a(sses) VIII","Four days before the Nones of July, a traveler's cloak and a small cloak (were deposited with) Faustilla (for collateral). For fifty (denarii?) she [is charging] 13.5 copper asses (per month, as interest).   8.",Latin,"iv nonas iulias , paenulam, palliolum , posita ad faustillam, pro l usura , deduxit xiiis , aeris asses viii"
SAV&#770;F,Sauf(eius?),Latin,sav̂f
[Pro]culus,Proculus,Latin,proculus
XII,12,Latin,xii
VII,7,Latin,vii
"VI+IV+A
C CA+BI
&#12296;:vacat&#12297;
P",(Incomprehensible series of letters),Latin,"viiva, c cabi, , p"
"Apsyrtu&#770;s
Valent=
ine (:Valentinae) ubiq(ue)","Apsyrtus: (Greetings) to Valentina, everywhere",Latin,"apsyrtûs, valent=, valentinae ubique"
Fortis,Brave (?),Latin,fortis
SIA&#770;NEI,(Incomprehensible series of letters),Latin,siânei
Matris Elesina (:Eleusinae),Of the Eleusinian mother,Latin,matris eleusinae
"Cupr=
on=
ius=
epol
Romul=
us in
caelo 
Martis
equita (:equitat)","By Pollux, Cupronius! Romulus, (son) of Mars, rides in heaven.",Latin,"cupr=, on=, ius=, epol, romul=, us in, caelo , martis, equitat"
"Lucilius
Lucidae suae
ub&#803;ique sal(utem)",Lucilius greets his Lucida everywhere,Latin,"lucilius, lucidae suae, uḅique salutem"
Iul(iae?),,Latin,iuliae
Augustus,,Latin,augustus
X,10,Latin,x
CCCLXXXVI,,Latin,ccclxxxvi
"&#12296;:stria 11&#12297;
SS
B 

&#12296;:stria 12&#12297;
VIT",(Individual letters),Latin,", ss, b , , , vit"
Fautio (:Faustio?),For Fau(s)tius,Latin,faustio
VCQ(?),VCQ,Latin,vcq
"ven[i]vit
muleri (:mulieri)
D(ecimi) Lucreti Vale(ntis)
Onus(tus?)
eques I
r(ationis?),
Saga
tr(aex) (:thraex)
m(urmillo)
I (rationis)","Sold(?) to the wife of Decimus Lucretius Valens, Onustus, a first-rate gladiator, and Sagatus, a first-rate Thracian-murmillo.",Latin,"venivit, mulieri, decimi lucreti valentis, onustus, eques i, rationis,, saga, traex thraex, murmillo, i rationis"
C++MRV,,Latin,cmrv
"Anchario
lina",Threads for Ancharius (?),Latin,"anchario, lina"
"L(ucius?) A+II+AIIPIDIIIS 
RA
",(Incomprehensible series of letters),Latin,"lucius aiiaiipidiiis , ra, "
Victor bene fut&#7909;&#7883;&#7789; Novim[u]s,,Latin,victor bene futụịṭ novimus
AL,,Latin,al
C&#923;&#921;&#925;I(?)CO,,Latin,cλινico
III ((signum)) XII XII XIII,,Latin,iii signum xii xii xiii
"Mus cave 
malum","Mus, beware of evil!",Latin,"mus cave , malum"
Hantis (:Anthis),Hantis (=Anthis),Latin,anthis
P(ublius) Caselicius Canus,,Latin,publius caselicius canus
Gnome a(nnis) CIX (?),,Latin,gnome annis cix 
bono ut sit,May it be (for) a good [man]?,Latin,bono ut sit
"Rusticus
Rufina","Rusticus
Rufina",Latin,"rusticus, rufina"
G IA,(incomprehensible series of letters),Latin,g ia
"cigrotue
ab h[- - -]r
m vole
VIII","(Text of uncertain meaning)
by (???)
(of?) M(arcus) Volu(mnius?)",Latin,"cigrotue, ab h.r, m vole, viii"
Roma[---],,Latin,roma.
L(ucius) Annius [+2?+]it,,Latin,lucius annius 2it
Phoebus pedico,,Latin,phoebus pedico
Q(uintum) Varium,,Latin,quintum varium
&#922;&#945;&#955;&#969;&#834;&#1010; &#956;&#945;&#953;&#959;&#961;[&#949;]&#1010; [---]&#953;&#954;&#945;,,Latin/Greek,καλῶϲ μαιορεϲ νικα
"Aman(dus)
Am(andus)",,Latin,"amandus, amandus"
((:circulus cum circino tractatus)),,Latin,circulus cum circino tractatus
"Taurus AAAOER[-----]S
ETA non PAS[---]AN VS
ERBA
",,Latin,"taurus aaaoers, eta non pas,an vs, erba, "
calos Castrensis s,,Latin/Greek,calos castrensis s
Dos pygiza (:&#948;&#8056;&#962; &#960;&#965;&#947;&#943;&#963;&#945;&#953;),Let me bugger!,Latin/Greek,dos pygiza δὸς πυγίσαι
Polucarpus&#803; (:Polycarpus) &#12296;:vacat&#12297; ++++,,Latin,polucarpuṣ polycarpus 
panta,,Latin/Greek,panta
D&#803;iogenes,,Latin,ḍiogenes
IIIIIIIIIIIIIIII,16,Latin,iiiiiiiiiiiiiiii
IIIIIIIIIIIIIIIIIIII,20,Latin,iiiiiiiiiiiiiiiiiiii
XII ((semis)),12 1/2,Latin,xii semis
Synethus,,Latin,synethus
Synethus,,Latin,synethus
"Phoebus
cine&#948;u  (:cinaedus)",,Latin/Greek,"phoebus, cineδu cinaedus"
"futui Mula (:Mulam) hic 
quid",,Latin,"futui mulam hic , quid"
"Secund(us)
S[e]c[und]&#7909;s
((:phallus))",,Latin,"secundus, secundụs, phallus"
Vitalio,Vitalio,Latin,vitalio
Prima cum Spar[tit]undiolo modo h[ac],,Latin,prima cum spartitundiolo modo hac
"Qûartio v&#770;a(le) 
((:labyrinthus)) 
((:labyrinth))",,Latin,"qûartio v̂ale , labyrinthus , labyrinth"
Amabiliter,,Latin,amabiliter
"Trofime
XIX",,Latin,"trofime, xix"
L&#803;eontine v&#770;a(le),,Latin,ḷeontine v̂ale
ER,,Latin,er
"Marce(llus?)
Proculus
Marcellus",,Latin,"marcellus, proculus, marcellus"
Apri&#803;&#803;culus I,,Latin,aprị̣culus i
"Fur cave
SIQ",,Latin,"fur cave, siq"
Circius,,Latin,circius
Ver,,Latin,ver
"V Idus NOVII (:Novembris)
Vestia","Five days before the Ides of November (=Nov. 9th)
Vestia",Latin,"v idus novembris, vestia"
"Staphìlus cum
Quie&#803;t&#803;a&#803;

",,Latin,"staphìlus cum, quiẹṭạ, , "
"Russa vale
XIIISIINDI","Farewell, Russa! (incomprehensible series of letters)",Latin,"russa vale, xiiisiindi"
"L N F
C",,Latin,"l n f, c"
N(umerium) Com,,Latin,numerium com
rubenses rub,?,Latin,rubenses rub
III,3,Latin,iii
"XXIIIIIII
VIIII VIII VII
IIII IIIIII IIIIII IIIIIIII IIIIIIII
X IIIIIIII IIIIIIII IIIIII
IIIIII XXIIIIIIIIII
XVII IIIIIIIIIIIII
XXXXX X IIIIIII III
IIIII XXXXX","27, 9, 8, 7, 4, 6, 6, 8, 8, 10, 8, 8, 6, 6, 30, 17, 13, 50, 10, 7, 3, 5, 50",Latin,"xxiiiiiii, viiii viii vii, iiii iiiiii iiiiii iiiiiiii iiiiiiii, x iiiiiiii iiiiiiii iiiiii, iiiiii xxiiiiiiiiii, xvii iiiiiiiiiiiii, xxxxx x iiiiiii iii, iiiii xxxxx"
IST F pedico NIIIC V,(incomprehensible series of letters) I bugger (incomprehensible series of letters),Latin,ist f pedico niiic v
IIIIIIIIIII,11,Latin,iiiiiiiiiii
Ionicus,,Latin,ionicus
VIV CVNLA,Incomprehensible series of letters,Latin,viv cvnla
A SER XXXI,,Latin,a ser xxxi
Quintus,Quintus,Latin,quintus
Cel&#803;e&#803;s&#803;ius hic est,,Latin,ceḷẹṣius hic est
Repentinus,Repentinus,Latin,repentinus
Eulymenus,Eulymenus,Latin,eulymenus
&#12296;:textus non legitur&#12297;,,Latin,
Q R B,,Latin,q r b
Paris v&#770;a(le),,Latin,paris v̂ale
Vos fortynati (:fortunati) v(---?),,Latin/Greek,vos fortunati v
AYBVCTDSIIRNQCPHO[INK]ML,,Latin,aybvctdsiirnqcphoinkml
[A]basc[antus],,Latin,abascantus
Innoces (:Innocens),,Latin,innocens
"Iuli, ((:phallus ad sin. versus)) lingis
Pacatus",,Latin,"iuli, phallus ad sin. versus lingis, pacatus"
Eros,,Latin,eros
"A A
A(ulus) Septumiu[---]icio Fabio
a(ssibus) ((%1000)) IIII",A(ulus) Septumiu(s) (owes?) to (Vin?)cius Fabius 4000? (4 x 1000?) asses,Latin,"a a, aulus septumiucastricio fabio, assibus %1000 iiii"
Auctus Iuli Aug[-],,Latin,auctus iuli aug
"IIIIII &#12296;:ianua&#12297; IIIIIIIIIIIIIIIIII IIIIIIIIIIIIIII IIIIIIIII
IIIIIIIIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII","6, 18, 15, 8 // 16, 36",Latin,"iiiiii iiiiiiiiiiiiiiiiii iiiiiiiiiiiiiii iiiiiiiii, iiiiiiiiiiiiiiii iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii"
Magistri,"Teachers (or, of the teacher)",Latin,magistri
"MAT
RN
+   v&#770;a",(Series of letters),Latin,"mat, rn,  v̂a"
IIIIIIIII,,Latin,iiiiiiiii
"IIIIIIIIIIIIIII 
IIIIIIIIIIIIIII","15, 15",Latin,"iiiiiiiiiiiiiii , iiiiiiiiiiiiiii"
Habitus,,Latin,habitus
cito,,Latin,cito
Abcedfgh[- - -],,Latin,abcedfgh.
Hantis (:Anthis) v&#770;a(le),"Hantis, bye!",Latin,anthis v̂ale
Armaturiis,,Latin,armaturiis
Clemes (:Clemens),,Latin,clemens
"C(a)esareo(?)


",,Latin,"caesareo, , , "
Maximus,,Latin,maximus
Roman(us),at Rome,Latin,romanus
Quati,Shake,Latin,quati
XXXX,40,Latin,xxxx
L X I I I I,64,Latin,l x i i i i
"Alica
p(ondo)  IIIII",Spelt. 5 pounds,Latin,"alica, pondo iiiii"
Helpis,,Latin,helpis
DCCXCVIII,798,Latin,dccxcviii
"Dap&#770;hnus
Felix
Agele (:Aegle?)
Attice","Daphnus, Felix, Agele, Attice",Latin,"dap̂hnus, felix, aegle, attice"
"&#12296;:columna I&#12297;
IIIIIIIIIII    

&#12296;:columna II&#12297;
 IIII","11, 4",Latin,", iiiiiiiiiii  , , , iiii"
Secundus,,Latin,secundus
Phoeb(us?),,Latin,phoebus
siquis erit variae am&#803;,,Latin,siquis erit variae aṃ
Anteros hoc scripsit,,Latin,anteros hoc scripsit
Crescens,Crescens,Latin,crescens
[Proc?]ulus,,Latin,proculus
Paridi ((:phallus)),,Latin,paridi phallus
Fru&#949;tus (:Fructus),,Latin/Greek,fructus
Ikarus &#920;,,Latin/Greek,ikarus θ
H&#803;ir(r)iu(s),,Latin,ḥirrius
Scaudì,,Latin,scaudì
Sabinus,,Latin,sabinus
Ampliatus,,Latin,ampliatus
Cosmus,Cosmus,Latin,cosmus
Quartilla va(le),Quartilla bye!,Latin,quartilla vale
Quartill[-]a,Quartilla,Latin,quartilla
"Va(le) Issa
Fabia",,Latin,"vale issa, fabia"
II CIII V,,Latin,ii ciii v
"quisquis
in catedra (:cathedra)",Whoever (will sit) in the chair...,Latin,"quisquis, in cathedra"
"IIIIIIIIIIII
IIIIIIIIIIIIIII
IIIIIIIIIIIIII
IIII
","12, 15, 14, 4",Latin,"iiiiiiiiiiii, iiiiiiiiiiiiiii, iiiiiiiiiiiiii, iiii, "
Va(le),Bye,Latin,vale
Antus &#968;&#969;&#955;&#942; Q,,Latin/Greek,antus ψωλή q
VIIIII&#769;III,13,Latin,viiiiíiii
"R
R 
ÂP",(Series of letters),Latin,"r, r , âp"
"&#12296;:stria 8&#12297;
Pa(ris) 

&#12296;:stria 9&#12297;
Par(is) 

&#12296;:stria 13&#12297;
Par(is)

&#12296;:striae 15-16&#12297;
Paris va(le)

&#12296;:stria 16-17&#12297;
V+AIS v&#770;a(le)","Paris, Paris, Paris, Paris, bye, (...other letters here...)",Latin,", paris , , , paris , , , paris, , , paris vale, , , vais v̂ale"
IIIIIIIIII,10,Latin,iiiiiiiiii
Quartila (:Quartilla),Quartil(l)a,Latin,quartilla
"Lucilius 
Lucidae
ubique
&#12296;:vacat&#12297; sal(utem)",Lucilius gives greetings to Lucida everywhere,Latin,"lucilius , lucidae, ubique, salutem"
"Venimus
hu&#803;c&#803; [c]u[pi]d&#803;i
[m]ul&#803;t&#803;o&#803; 
magis
hire (:ire) &#12296;:cupimus&#12297; · ut
liceat
nostros
visere,
Rom&#803;a, La&#803;res.",,Latin,"venimus, hục̣ cupiḍi, muḷṭọ , magis, ire · ut, liceat, nostros, visere,, roṃa, lạres."
EREN,(The letters) EREN,Latin,eren
SVRR,SURR,Latin,svrr
A B C D,ABCD,Latin,a b c d
"Beliatus
IABET",Beliatus (...other letters here...),Latin,"beliatus, iabet"
"&#12296;:stria 5-6&#12297;
S&#818;e&#818;v&#818;e&#818;r&#818;us

&#12296;:striae 6-7&#12297;
Severus Iulius CX

&#12296;:stria 12&#12297;
Sever&#7909;(s)
Sever(us)","Severus, Severus Iulius 110, Severus Severus",Latin,", s̲e̲v̲e̲r̲us, , , severus iulius cx, , , severụs, severus"
salute&#803; (:salutem) venientis,To the health of the one entering,Latin,salutẹ salutem venientis
"L(ucius?) · DEC DXVS·
X X X",,Latin,"lucius · dec dxvs·, x x x"
"Quius (:Cuius)
&#12296;:vacat&#12297;
V(irum) B(onum) ÔV&#770;F (:oro vos faciatis)",Whose? (He is a) good man. I ask that you make/elect him... (phrases usually used in campaign posters),Latin,"cuius, , virum bonum ôv̂f oro vos faciatis"
P&#7806;N[I]CO sal(utem),Hello to Punicus,Latin,pṿnico salutem
Ver et Anedia,,Latin,ver et anedia
"Su&#7747;
Q Vesuvius",I am Quintus Vesuvius,Latin,"suṃ, q vesuvius"
&#7960;&#960;&#945;&#966;&#961;&#803;[&#8118;?]++++&#917;&#7778;,,Latin/Greek,ἐπαφρ̣ᾶεṣ
"Vade 
age nate
vocas Ze=
pirios (:Zephyros)","Come on, son, {you} call the west winds",Latin,"vade , age nate, vocas ze=, zephyros"
"M(arcus) Magonius 
Vesbinus",Marcus Magonius Vesbinus,Latin,"marcus magonius , vesbinus"
"Liberalis 
cum&#803; &#12296;:vacat&#12297; RV",Liberalis (...other letters here...),Latin,"liberalis , cuṃ rv"
"Eros Pleia Apeleis ((signa duo)) Familia [g]ladiato[r]ia Pomponi&#769; Fa[u]sti[n]i&#769;
E",,Latin,"eros pleia apeleis signa duo familia gladiatoria pomponí faustiní, e"
Oppi,Oppi,Latin,oppi
"Hic
III",Here 3,Latin,"hic, iii"
"&#12296;:ad perpendiculum&#12297;
V&#770;ARRVM+RI",(Unclear series of letters),Latin,", v̂arrvmri"
MSITA,(Series of letters),Latin,msita
"XII-CL VIIII
XV | CIVS","12 150 9
15 Cius",Latin,"xiicl viiii, xv | civs"
"((:vela))
Antiochus
hic mansit
cum sua
cithera (:cythera)",Antiochus stayed here with his Cythera,Latin,"vela, antiochus, hic mansit, cum sua, cythera"
Proculus,Proculus,Latin,proculus
"Sexvir
ego quos
Pompeis (:Pompeiis)","VIvir/Severus, those whom I at Pompeii...  (no verb written)",Latin,"sexvir, ego quos, pompeiis"
Mus v(ale),"Bye, Mus",Latin,mus vale
Quem,Whom,Latin,quem
Lucretio,,Latin,lucretio
Gemma velim fieri hora non,,Latin,gemma velim fieri hora non
Manilius,Manilius,Latin,manilius
"Clodius
hic et ubiq(ue)
amabilit=
er",Clodius (sends greetings) here and everywhere - with love!,Latin,"clodius, hic et ubique, amabilit=, er"
Summachus (:Symmachus),Symmachus,Latin,symmachus
quicomq(ue) (:quicumque),whoever...,Latin,quicomque quicumque
Marci Anic&#803;et[i],,Latin,marci anic̣eti
"((:phallus)) ratio (:rationem) mi cum ponis
Batacare te pidicaro (:pedicavero)
ana",,Latin,"phallus rationem mi cum ponis, batacare te pedicavero, ana"
"Sacaba e&#803;t C&#803;a&#803;r&#803;a&#803;(?)milus &#12296;:lectio incerta&#12297;
((:duo gladiatores, a quibus alter, sub SAC, alterum, sub M, tridente petit))",,Latin,"sacaba ẹt c̣ạṛạmilus , duo gladiatores, a quibus alter, sub sac, alterum, sub m, tridente petit"
XVIIII&#768;,18,Latin,xviiiì
"Nasso Fadius
((:caput viri barbati ad sin.))",Fadius Nasso,Latin,"nasso fadius, caput viri barbati ad sin."
Men (:Menander?),,Latin,menander
"Amat qui scribe&#7789;. (:scribit) Pedicatur qui leget. (:legit)
Qui opsultat (:opscultat), prurit. Paticus (:pathicus) est, q&#803;ui praete&#818;&#7771;it.
Ursi me come&#7693;ant et ego verp&#7841;, qui lego.",,Latin,"amat qui scribeṭ. scribit pedicatur qui leget. legit, qui opscultat, prurit. pathicus est, q̣ui praete̲ṛit., ursi me comeḍant et ego verpạ, qui lego."
"RFV&#770;B M 
B&#923;

",,Latin/Greek,"rfv̂b m , bλ, , "
V,5,Latin,v
&#7944;&#955;&#941;&#803;&#958;&#945;&#957;&#948;R&#959;&#962;,Alexandros,Latin/Greek,ἀλέ̣ξανδrος
[Pra]e&#803;fecto Caesari[s],,Latin,praẹfecto caesaris
Eros Spleia,,Latin,eros spleia
"&#12296;:columna I&#12297;
A[lb]anus Pompon(ius)
S[ev]eri servus 

&#12296;:columna II&#12297;
[- - -]

&#12296;:columna III&#12297;
Severus",,Latin,", albanus pomponius, severi servus , , , ,, , , severus"
"&#12296;:in striis variis&#12297;
MI
 
CII
 
X
 
XXI
 
I&#773;I&#773;I&#773;I&#773;",(Individual letters),Latin,", mi, , cii, , x, , xxi, , i̅i̅i̅i̅"
Spe(s?) a&#803;(ssibus?),Spes asses?,Latin,spes ạssibus
lucr[---],,Latin,lucr.
"CTV
&#12296;:textus non legitur&#12297;
DED",(Incomprehensible series of letters),Latin,"ctv, , ded"
"D
D
DC
V
V
V
XX
FIIL","500, 500, 600, 5, 5, 5, 20, ?",Latin,"d, d, dc, v, v, v, xx, fiil"
"A(uli) Pos=
stu=
mi (:Postumi)
Qui=
cti",Of Aulus Postumius Qui(n)ctus,Latin,"auli pos=, stu=, postumi, qui=, cti"
Sollemnes (:Sollemnis) hic,,Latin,sollemnis hic
"A&#770;u&#770;ctilius
Ati&#803;l&#803;o&#803; (:Atilio) s&#803;a&#803;(lutem).
Casellio
infelicia",Auctilius says hi to Atil(l)ius. To Casellius - bad luck/unhappy things.,Latin,"âûctilius, atịḷọ atilio ṣạlutem., casellio, infelicia"
AXCDFER,,Latin,axcdfer
Placidus,Placidus,Latin,placidus
"Admiror o pariens (:paries) te non cecidisse ruinis qui tot
scriptorum taedia sustineas",,Latin,"admiror o paries te non cecidisse ruinis qui tot, scriptorum taedia sustineas"
"&#12296;:ad perpendiculum&#12297;
L(ucius) Acutius MA",Lucius Acutius MA,Latin,", lucius acutius ma"
Quibus,To (or for) whom,Latin,quibus
"Xomanus (:Romanus?)
Homulo",A Roman to a little man,Latin,"romanus, homulo"
Iucu&#803;nd&#803;us,Iucundus,Latin,iucụnḍus
"Pittacius
cum
P&#803;r&#803;imigenia
hic
Prima seq=
uere
Volu=
mnius","Pittacius was here with Primigenia. Prima, follow (me). --Volumnius",Latin,"pittacius, cum, p̣ṛimigenia, hic, prima seq=, uere, volu=, mnius"
A(ssibus) XIX,19 asses (coins),Latin,assibus xix
"D &#12296;:vacat&#12297; BA
D
D((:navis)) BK
",,Latin,"d ba, d, dnavis bk, "
C(aius) T(---?) Lux,C. T. Lux,Latin,caius t lux
"&#12296;:stria 12&#12297;
Narci=
sus (:Narcissus)

&#12296;:stria 13&#12297;
Narcisus (:Narcissus)
sitien(s) hac 

&#12296;:stria 14&#12297;
Narcisus (:Narcissus)
sitiens hac",Narcissus -- Narcissus is thirsty here -- Narcissus is thirsty over here.,Latin,", narci=, narcissus, , , narcissus, sitiens hac , , , narcissus, sitiens hac"
M&#770;us v&#770;a(le),"Goodbye, Mus",Latin,m̂us v̂ale
ABD,,Latin,abd
Asbestus hic,,Latin,asbestus hic
Vitalis,,Latin,vitalis
Er&#818;os,Eros,Latin,er̲os
X,10,Latin,x
Fortunatus,,Latin,fortunatus
"&#12296;:ad sinistram&#12297; 
Q(uintus) Ptronius (:Petronius) m(issus)
Otavs (:Octavus) &#12296;:pugnarum&#12297; XXXIIII
((:gladiator fugiens))

&#12296;:ad dextram&#12297;
Severus · v(icit)
lib(ertus) &#12296;:pugnarum&#12297; XXXXXV
((:gladiator qui alterum illum persequitur))","Quintus Petronius Octavus, 34 wins - sent away (i.e. lost)
Severus, freedman, 55 wins - winner!",Latin," , quintus petronius missus, octavus xxxiiii, gladiator fugiens, , , severus · vicit, libertus xxxxxv, gladiator qui alterum illum persequitur"
Cressa,,Latin,cressa
"cant(icuere) (:conticuere)
",They were silent (conticuere?),Latin,"canticuere conticuere, "
Mario &#12296;:vacat&#12297; Mario,For Marius. For Marius,Latin,mario mario
