content,contentTranslation,languageInEnglish,preprocessed
"&#12296;:columna I&#12297;
C&#932;&#929;&#913;=
&#932;&#927;&#925;&#921;=
&#922;&#927;C (:&#931;&#964;&#961;&#945;&#964;&#972;&#957;&#953;&#954;&#959;&#962;)

&#12296;:columna II&#12297;
Stra=
tonicos (:Stratonicus)
scrips(it)",,Latin/Greek,", cτρα=, τονι=, κοc στρατόνικος, , , stra=, stratonicus, scripsit"
Augu,(Something about augury or the emperor?),Latin,augu
VIII k(alendas) Iulias,Eight days before the Kalends of July,Latin,viii kalendas iulias
Va(le) va(le),"Goodbye, goodbye",Latin,vale vale
"Se(xtus) Porcius
s s",Se(xtus) Porcius / s s,Latin,"sextus porcius, s s"
Debere,,Latin,debere
AB,,Latin/Greek,ab
&#928;&#961;&#972;&#954;&#955;&#945;,Πρόκλα,Latin/Greek,πρόκλα
Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis),Flavia (other letters here),Latin/Greek,flavia θ̲ l̲i̲g̲i̲s̲ lingis
XX IIIIIIIII,20 9,Latin,xx iiiiiiiii
Onesimus,Onesimus,Latin,onesimus
"A(ulus) Tati(us?)
[- - -]p&#818;r&#818;ius",Aulus Tati(us) (...other letters here...),Latin,"aulus tatius, cosp̲r̲ius"
Vidimus,We saw,Latin,vidimus
Alica,Porridge,Latin,alica
Vasa,Vase,Latin,vasa
Felices,Lucky ones,Latin,felices
Ara,Altar,Latin,ara
VII a(sses) III,7 asses (coins). 3,Latin,vii asses iii
IIIIIIIIIIIIIII,15,Latin,iiiiiiiiiiiiiii
AXBVCD,,Latin,axbvcd
"Omnes
XXXI","All of them, 31",Latin,"omnes, xxxi"
V&#770;ale Procam&#770;u (:Procame),"Goodbye, Procamus",Latin,v̂ale procam̂procame
P S edituis (:aedituus),P S   For the temple-attendants(?),Latin,p s aedituus
[- - - d]ece[mbr?- - -],(D)ece(mber?),Latin,  decembr 
Lasius cinedus (:cinaedus),Lasius is a pervert.,Latin,lasius cinaedus
PR XXX CV[+]XXX,Price: 30   Cu(?): 30,Latin,pr xxx cvxxx
L(uci) Aviani votus (:votum),"A vow (literally, something vowed) of Lucius Avianus",Latin,luci aviani votum
"Exemta (:exempta)
stecora (:stercora)
a(ssibus) XI",Dung removed for 11 asses (coins),Latin,"exempta, stercora, assibus xi"
"Asas n(umero) LXI ·
Anaticulas · n(umero) · CXXVI",Handles (geese?) - 59. Ducklings - 126.,Latin,"asas numero lxi ·, anaticulas · numero · cxxvi"
"Vinum a(sses) III
Quatusui++I VIII
Nig[---] ((denarius)) V s(emis)
Capitoni
Nigro ((denarius)) V
Nig[---]",,Latin,"vinum asses iii, quatusuii viii, nig denarius v semis, capitoni, nigro denarius v, nig."
Quant(?),How much?,Latin,quant
Amata&#803;,Amata,Latin,amatạ
"[- - -] socio F[---]
[- - -]AL",(...) with a friend (...),Latin,"pro socio f., rival"
Marcus,Marcus,Latin,marcus
MAM,Mam(ius?),Latin,mam
"Proculus
((:herma viri))
",Proculus,Latin,"proculus, herma viri, "
XI,11,Latin,xi
Mus nequa(m),Mus never(?),Latin,mus nequam
IIIIIIIIIII,11,Latin,iiiiiiiiiii
"Stirisc[us? - - -]
[- - - M]oschus Noeto",Stirisc(us?...) /  (M)oschus to Noetus,Latin,"stiriscus  ,  moschus noeto"
SAB,Sab(inus?) (or Sabina?),Latin,sab
C C ego,C. C. I (myself)....,Latin,c c ego
"&#12296;:ad perpendiculum&#12297;
Iuvari",To be helped,Latin,", iuvari"
Prigenio (:Primigenio?) s(alutem),Hello to Primigenius.,Latin,primigenio salutem
P(ublius) Septumius,Publius Septumius,Latin,publius septumius
Q(uintus) [-] LA,Q(uintus) La(elius?),Latin,quintus la
((mille)) ((mille)),1000 1000,Latin,mille mille
"A Epicurus 
si es Utica","A(ulus?) Epicurus, if you are at Utica . . .",Latin,"a epicurus , si es utica"
METI,Metienus(?) OR Mettius(?),Latin,meti
Chie IMN,"Chius, (...other letters here...)",Latin,chie imn
Algemus,We are cold.,Latin,algemus
Quis d,Who...,Latin,quis d
"Cereales sint Cums (:Cumis)
",Cerialis and Cerialis might be at Cumae.,Latin,"cereales sint cumis, "
CEN,(series of letters),Latin,cen
"Apelles cubicularius
cum Dextro Caesar(is)
pranderunt hic
iucundissime et
future simul.","Apelles, the bedroom attendant, with Dexter, (slave) of Caesar, ate lunch here most agreeably and also had sex.",Latin,"apelles cubicularius, cum dextro caesaris, pranderunt hic, iucundissime et, future simul."
Severus,Severus,Latin,severus
ON,,Latin,on
SA,SA,Latin,sa
"Centurio
centonem non habet 
cen(---?)",The centurion does not have a blanket (...),Latin,"centurio, centonem non habet , cen"
Anicete va(le),"Goodbye, Anicetus",Latin,anicete vale
Secundus quo Hectic [+10?+ plu]rimam salutem,"Secundus, from whom Hectic(...?) many greetings.",Latin,secundus quo hectic 10 plurimam salutem
IIII,4,Latin,iiii
Ad Ner[---],To Nero (?),Latin,ad ner.
Q(uintus)  M[---] Antu[s ---],Quintus M(---) Antu(s--?),Latin,quintus m. antus 
"K(alendas) Aug&#803;(ustas)
Nonas&#803; A&#818;p&#818;r&#818;(ilis)
At&#818;i&#818;n&#818;a&#818;s&#818;","Kalends of August, Nones of April at Atina.",Latin,"kalendas aug̣ustas, nonaṣ a̲p̲r̲ilis, at̲i̲n̲a̲s̲"
"Qunei (:cunei) XXIII
Asseres XV",23 wedges. 15 poles.,Latin,"cunei xxiii, asseres xv"
Urban(e) v&#770;a(le),"Goodbye, Urbanus",Latin,urbane v̂ale
Urso,To the bear,Latin,urso
"Artorius 
[- - -]IIIII II III",Artorius. 5 2 3,Latin,"artorius , iiiiiiii ii iii"
Ti(berius) Claud(ius),Tiberius Claudius,Latin,tiberius claudius
A(ulus) Memm(ius),Aulus Memm(ius),Latin,aulus memmius
"Maior va(le)
Maior va(le)
OMCA VIII","Goodbye, Maior. Goodbye, Maior. (...more text here...)",Latin,"maior vale, maior vale, omca viii"
"Mamium(:Mammium) Anicetum
rogamus guria(:curia) Augustiana",,Latin,"mamiummammium anicetum, rogamus guriacuria augustiana"
"Lollian(us)
Euodus(:Euhodus)</span>,
Priscus,
Musicus,
5 Atimetus,
[Am?]p&#803;e&#803;lus,
[---]c&#803;c&#803;us,
G&#818;l&#818;aucus,
C&#818;o&#818;mmuni&#818;s&#818;",,Latin,"lollianus, euoduseuhodus,, priscus,, musicus,, 5 atimetus,, amp̣ẹlus,, ,c̣c̣us,, g̲l̲aucus,, c̲o̲mmuni̲s̲"
"Qui · se tutari · nescit · nescit · vivere
Minimum · malu (:malum) · fit contemnendo · maximum","He who does not know to guard himself does not know how to live. The tiniest trouble, if ignored, becomes tremendous (i.e. the smallest evil becomes the greatest).",Latin,"qui · se tutari · nescit · nescit · vivere, minimum · malum · fit contemnendo · maximum"
M&#770;ansi solus x (:ex) s(enatus) c(onsulto),I remained alone by decree of the senate,Latin,m̂ansi solus ex senatus consulto
"Hic situs
Suellius",Suellius is located here.,Latin,"hic situs, suellius"
"Saturnina[e]
matr(i) uncus
a(ssibus) III
","For Saturnina, a mother, a hook that costs three asses (coins).",Latin,"saturninae, matri uncus, assibus iii, "
IIIIIIIIIIIIIIIIIIIIIIIIIIIIII,30,Latin,iiiiiiiiiiiiiiiiiiiiiiiiiiiiii
"[---]lius CINT &#12296;:vacat&#12297; genius suae sal(utem) 
[---]CIN N AGIO GORC R",[---]lius sends greetings to his (girlfriend?). (...other letters here...),Latin,"comelius cint genius suae salutem , 1cin n agio gorc r"
"SPI
Oceanus",Hope(?) / Oceanus,Latin,"spi, oceanus"
suis P ave viban (:vivant),Greetings to his own (family? friends?). May they live...,Latin,suis p ave vivant
Ursi me comedant,Let the bears devour me.,Latin,ursi me comedant
M&#770;M&#770;M&#770;Mu&#818;s&#818;,MMMMus (personal name) OR MMMMouse,Latin,m̂m̂m̂mu̲s̲
